Name,Year,Genre,Style,r,g,b
Fishing Boats at Sea,1888,marina,Post-Impressionism,698,791,666
Fishing Boats on the Beach,1888,sketch and study,Post-Impressionism,677,618,535
Fishing boats on the Beach at Les Saintes-Maries-de-la-Mer,1888,marina,Post-Impressionism,554,541,421
Fishing boats on the Beach at Les Saintes-Maries-de-la-Mer,1888,sketch and study,Post-Impressionism,750,752,751
Fishing Boats on the Beach at Saintes-Maries-de-la-Mer,1888,landscape,Japonism,1033,598,331
Flowering Garden,1888,landscape,Post-Impressionism,801,662,250
Garden Behind a House,1888,landscape,Post-Impressionism,1046,781,362
Garden with Flowers,1888,sketch and study,Post-Impressionism,879,823,752
Garden with Flowers,1888,landscape,Post-Impressionism,855,809,433
Garden with Flowers,1888,landscape,Post-Impressionism,767,778,774
Garden with Weeping Willow,1888,landscape,Post-Impressionism,837,875,393
Girl with Ruffled Hair (The Mudlark),1888,portrait,Post-Impressionism,885,702,471
Green Ears of Wheat,1888,landscape,Post-Impressionism,725,575,543
Gypsies at Saintes-Maries,1888,sketch and study,Post-Impressionism,650,570,540
"Harvest at La Crau, with Montmajour in the Background",1888,landscape,Post-Impressionism,1019,733,319
Harvest in Provence,1888,landscape,Post-Impressionism,970,743,473
"Harvest in Provence, at the Left Montmajour",1888,landscape,Post-Impressionism,773,765,518
Harvest Landscape,1888,landscape,Post-Impressionism,854,565,400
Harvest Landscape,1888,sketch and study,Post-Impressionism,956,896,693
Haystacks in Provence,1888,landscape,Post-Impressionism,1058,635,140
Haystacks near a Farm,1888,sketch and study,Post-Impressionism,956,804,604
Haystacks near a Farm,1888,sketch and study,Post-Impressionism,752,657,581
Head of a Girl,1888,sketch and study,Post-Impressionism,801,789,711
Hill with Bushes,1888,sketch and study,Post-Impressionism,1007,899,673
Hill with the Ruins of Montmajour,1888,sketch and study,Post-Impressionism,904,786,522
Interior of a Restaurant in Arles,1888,interior,Post-Impressionism,803,649,358
"Joseph Roulin, Sitting in a Cane Chair, Three-Quarter-Length",1888,sketch and study,Post-Impressionism,599,613,502
"Joseph Roulin, Three-Quarter-Length",1888,sketch and study,Post-Impressionism,930,840,638
La Crau,1888,sketch and study,Post-Impressionism,736,739,752
La Crau Seen from Montmajour,1888,sketch and study,Post-Impressionism,692,700,699
La Crau with Peach Trees in Bloom,1888,sketch and study,Post-Impressionism,726,598,497
Ladies of Arles (Memories of the Garden at Etten),1888,genre painting,Cloisonnism,1135,668,151
Landscape near Montmajour with Train,1888,landscape,Post-Impressionism,904,866,806
Landscape under a Stormy Sky,1888,landscape,Post-Impressionism,854,712,304
Landscape with a Tree in the Foreground,1888,sketch and study,Post-Impressionism,904,798,663
Landscape with a Tree in the Foreground,1888,sketch and study,Post-Impressionism,804,634,427
Landscape with Alphonse Daudet's Windmill,1888,landscape,Post-Impressionism,879,618,419
Landscape with Hut in the Camargue,1888,sketch and study,Post-Impressionism,778,704,669
Landscape with Olive Tree and Mountains in the Background,1888,sketch and study,Post-Impressionism,751,752,748
Landscape with Path and Pollard Trees,1888,landscape,Post-Impressionism,829,650,524
Landscape with Snow,1888,landscape,Post-Impressionism,806,590,636
Landscape with the Wall of a Farm,1888,sketch and study,Post-Impressionism,778,692,656
"L'Arlesienne, Portrait of Madame Ginoux",1888,sketch and study,Post-Impressionism,777,709,569
"L'Arlesienne, Portrait of Madame Ginoux",1888,portrait,Post-Impressionism,994,804,375
Les Alyscamps,1888,cityscape,Post-Impressionism,1007,537,271
Meadow with Flowers,1888,landscape,Post-Impressionism,982,862,617
Memory of the Garden at Etten,1888,sketch and study,Post-Impressionism,804,717,587
Montmajour,1888,landscape,Post-Impressionism,522,522,520
Mother Roulin with Her Baby,1888,portrait,Post-Impressionism,1000,796,438
Mother Roulin with Her Baby,1888,portrait,Post-Impressionism,804,679,271
Newly Mowed Lawn with Weeping Tree,1888,landscape,Post-Impressionism,726,598,462
Oleanders and Books,1888,still life,Post-Impressionism,776,663,349
Olive Trees,1888,sketch and study,Post-Impressionism,879,824,754
Orchard and House with Orange Roof,1888,sketch and study,Post-Impressionism,779,710,561
Orchard and House with Orange Roof,1888,sketch and study,Post-Impressionism,827,811,729
Orchard in Blossom,1888,landscape,Post-Impressionism,860,748,456
Orchard in Blossom,1888,landscape,Post-Impressionism,718,728,644
Orchard in Blossom,1888,landscape,Post-Impressionism,785,835,541
Orchard in Blossom (Plum Trees),1888,landscape,Post-Impressionism,695,408,216
Orchard in Blossom with Two Figures Spring,1888,sketch and study,Post-Impressionism,682,608,331
"Orchard in Blossom, Bordered by Cypresses",1888,landscape,Post-Impressionism,856,850,576
"Orchard in Blossom, Bordered by Cypresses",1888,landscape,Post-Impressionism,825,861,714
Orchard Surrounded by Cypresses,1888,sketch and study,Post-Impressionism,854,752,603
Orchard with Arles in the Background,1888,sketch and study,Post-Impressionism,930,858,640
Orchard with Blossoming Apricot Trees,1888,landscape,Post-Impressionism,711,658,390
Orchard with Blossoming Plum Trees,1888,landscape,Post-Impressionism,765,775,610
Orchard with Blossoming Plum Trees (The White Orchard),1888,sketch and study,Post-Impressionism,905,786,532
Orchard with Peach Trees in Blossom,1888,landscape,Post-Impressionism,1011,746,560
Path in the Park at Arles,1888,landscape,Post-Impressionism,803,754,479
Path Through a Field with Willows,1888,landscape,Post-Impressionism,451,454,389
Paul Gauguin (Man in a Red Beret),1888,portrait,Cloisonnism,783,651,310
Paul Gauguin's Armchair,1888,still life,Post-Impressionism,586,438,204
Peach Tree in Bloom (in memory of Mauve),1888,landscape,Post-Impressionism,610,520,510
Peach Trees in Blossom,1888,landscape,Post-Impressionism,587,764,811
Pear Tree in Blossom,1888,landscape,Post-Impressionism,849,715,465
Père Tanguy,1888,portrait,Japonism,932,653,467
Pink Peach Trees,1888,sketch and study,Post-Impressionism,817,707,457
Ploughman in the Fields near Arles,1888,sketch and study,Post-Impressionism,779,567,378
Pollard Willows and Setting Sun,1888,landscape,Post-Impressionism,917,686,416
Portrait of a Man,1888,portrait,Post-Impressionism,816,841,477
Portrait of a One-Eyed Man,1888,portrait,Post-Impressionism,804,557,235
Portrait of Armand Roulin,1888,portrait,Post-Impressionism,470,522,336
Portrait of Armand Roulin,1888,portrait,Post-Impressionism,872,789,499
Portrait of Camille Roulin,1888,portrait,Post-Impressionism,1160,686,307
Portrait of Camille Roulin,1888,portrait,Post-Impressionism,749,733,302
Portrait of Eugene Boch,1888,portrait,Post-Impressionism,861,590,393
Portrait of Madame Augustine Roulin,1888,portrait,Post-Impressionism,982,691,372
Portrait of Madame Ginoux (L'Arlesienne),1888,portrait,Post-Impressionism,799,771,531
Portrait of Madame Ginoux (L'Arlesienne),1888,portrait,Post-Impressionism,1016,814,465
"Portrait of Milliet, Second Lieutnant of the Zouaves",1888,portrait,Post-Impressionism,942,800,442
Portrait of Patience Escalier,1888,sketch and study,Post-Impressionism,497,495,495
Portrait of Patience Escalier,1888,portrait,Post-Impressionism,1038,760,416
"Portrait of Patience Escalier, Shepherd in Provence",1888,portrait,Post-Impressionism,904,632,331
Portrait of Père Tanguy,1888,portrait,Japonism,882,588,250
Portrait of Postman Roulin,1888,portrait,Post-Impressionism,689,713,604
Portrait of the Artist's Mother,1888,portrait,Post-Impressionism,934,842,444
Portrait of the Postman Joseph Roulin,1888,sketch and study,Post-Impressionism,829,776,692
Postman Joseph Roulin,1888,portrait,Post-Impressionism,691,772,849
Public Garden with a Corner of the Yellow House,1888,sketch and study,Post-Impressionism,854,787,632
Public Garden with a Couple and a Blue Fir Tree,1888,sketch and study,Post-Impressionism,752,580,484
Public Garden with Benches,1888,sketch and study,Post-Impressionism,829,749,703
Public Garden with Couple and Blue Fir Tree (The Poet s Garden III),1888,landscape,Post-Impressionism,710,849,519
Public Garden with Fence,1888,sketch and study,Post-Impressionism,827,803,690
Public Garden with Vincent s House in the Background,1888,sketch and study,Post-Impressionism,804,671,555
Public Park with Weeping Willow The Poet s Garden I,1888,landscape,Post-Impressionism,807,801,307
Quay with Men Unloading Sand Barges,1888,sketch and study,Post-Impressionism,904,764,594
Quay with Men Unloading Sand Barges,1888,genre painting,Post-Impressionism,724,706,242
Railway Carriages,1888,landscape,Post-Impressionism,812,551,458
Red Vineyards at Arles,1888,landscape,Post-Impressionism,1058,797,270
Rhone with Boats and a Bridge,1888,sketch and study,Post-Impressionism,607,607,650
Road with Telegraph Pole and Crane,1888,sketch and study,Post-Impressionism,752,699,654
Road with Trees,1888,sketch and study,Post-Impressionism,650,585,516
Rocks with Oak Tree,1888,sketch and study,Post-Impressionism,600,566,527
Round Clipped Shrub in the Public Garden,1888,sketch and study,Post-Impressionism,904,818,698
Row of Cottages in Saintes-Maries,1888,sketch and study,Post-Impressionism,828,798,691
Ruins of Montmajour,1888,sketch and study,Post-Impressionism,777,690,583
Ruins of Montmajour,1888,sketch and study,Post-Impressionism,803,759,727
Seascape at Saintes-Maries,1888,marina,Post-Impressionism,846,752,887
Self Portrait,1888,self-portrait,Post-Impressionism,865,795,310
Self Portrait,1888,self-portrait,Post-Impressionism,1020,803,447
Self Portrait as an Artist,1888,self-portrait,Post-Impressionism,719,670,667
Self Portrait Dedicated to Paul Gauguin,1888,self-portrait,Post-Impressionism,613,735,520
Self-Portrait,1888,self-portrait,Post-Impressionism,804,529,267
Selfportrait on the Road to Tarascon (The Painter on His Way to Work),1888,self-portrait,Post-Impressionism,804,672,445
Sketch of a Seated Woman,1888,sketch and study,Realism,879,879,879
Snowy Landscape with Arles in the Background,1888,landscape,Post-Impressionism,667,686,700
Snowy Landscape with Arles in the Background,1888,landscape,Post-Impressionism,844,755,646
Sower,1888,genre painting,Post-Impressionism,934,804,187
Sower,1888,genre painting,Post-Impressionism,822,883,672
Sower and Trunk of an Old Yew Tree,1888,sketch and study,Post-Impressionism,930,772,617
Sower with Setting Sun,1888,sketch and study,Post-Impressionism,804,731,581
Sower with Setting Sun,1888,sketch and study,Post-Impressionism,701,626,515
Sower with Setting Sun,1888,sketch and study,Post-Impressionism,804,730,563
Sower with Setting Sun,1888,genre painting,Post-Impressionism,930,629,143
Spectators in the Arena at Arles,1888,genre painting,Cloisonnism,950,743,245
Still Life - French Novels,1888,still life,Post-Impressionism,817,537,94
Still Life - French Novels and Rose,1888,still life,Post-Impressionism,1008,627,439
Still Life - Vase with Fifteen Sunflowers,1888,flower painting,Post-Impressionism,982,656,225
Still Life - Vase with Fifteen Sunflowers,1888,flower painting,Post-Impressionism,957,881,363
"Still Life Bottle, Lemons and Oranges",1888,still life,Post-Impressionism,1018,921,596
Still Life Bowl with Daisies,1888,flower painting,Post-Impressionism,652,713,478
Still Life Majolica Jug with Wildflowers,1888,still life,Post-Impressionism,1083,803,352
Still Life Potatoes in a Yellow Dish,1888,still life,Post-Impressionism,955,853,559
Still Life Vase with Five Sunflowers,1888,flower painting,Post-Impressionism,778,454,274
Still Life Vase with Oleanders,1888,flower painting,Post-Impressionism,719,695,644
Still Life Vase with Zinnias,1888,flower painting,Post-Impressionism,716,496,328
Still Life with Basket and Six Oranges,1888,still life,Post-Impressionism,1107,678,423
"Still Life with Blue Enamel Coffeepot, Earthenware and Fruit",1888,still life,Post-Impressionism,1058,805,432
Still Life with Coffee Pot,1888,sketch and study,Post-Impressionism,726,635,493
Still Life with Coffee Pot,1888,sketch and study,Post-Impressionism,698,659,558
Still Life with Pears,1888,still life,Post-Impressionism,848,592,242
Street in Saintes-Maries,1888,sketch and study,Post-Impressionism,829,754,572
Street in Saintes-Maries,1888,sketch and study,Post-Impressionism,686,700,688
Street in Saintes-Maries,1888,landscape,Post-Impressionism,953,683,305
"Summer Evening, Wheatfield with Setting sun",1888,landscape,Post-Impressionism,1009,789,357
Sunflowers,1888,flower painting,Post-Impressionism,524,381,279
Sunny Lawn in a Public Park,1888,landscape,Post-Impressionism,833,891,475
The Artist's House in Arles,1888,cityscape,Post-Impressionism,618,621,625
The Baby Marcelle Roulin,1888,portrait,Post-Impressionism,704,539,498
The Baby Marcelle Roulin,1888,portrait,Post-Impressionism,940,818,337
The ballroom at Arles,1888,genre painting,Post-Impressionism,877,697,353
The Bridge at Trinquetaille,1888,cityscape,Post-Impressionism,1004,912,748
"The Cafe Terrace on the Place du Forum, Arles, at Night",1888,sketch and study,Post-Impressionism,625,625,625
The Corner of the Park,1888,sketch and study,Post-Impressionism,726,610,533
The Garden with Flowers,1888,sketch and study,Post-Impressionism,622,563,584
The Gleize Bridge over the Vigneyret Canal,1888,landscape,Post-Impressionism,944,723,637
The Green Vinyard,1888,landscape,Post-Impressionism,643,842,854
The Langlois Bridge,1888,landscape,Japonism,939,749,510
The Langlois Bridge at Arles,1888,sketch and study,Post-Impressionism,522,522,522
The Langlois Bridge at Arles,1888,landscape,Japonism,862,696,394
The Langlois Bridge at Arles,1888,landscape,Japonism,887,638,542
The Langlois Bridge at Arles with Road Alongside the Canal,1888,landscape,Japonism,1098,858,559
The Langlois Bridge at Arles with Women Washing,1888,landscape,Japonism,909,721,544
The Langlois Bridge at Arles with Women Washing,1888,landscape,Japonism,800,810,601
The Lovers The Poet s Garden IV,1888,sketch and study,Post-Impressionism,655,676,641
The Mill of Alphonse Daudet at Fontevieille,1888,landscape,Post-Impressionism,717,746,473
The Night Cafe,1888,interior,Post-Impressionism,850,741,342
The Novel Reader,1888,genre painting,Post-Impressionism,849,691,250
The old mill,1888,landscape,Post-Impressionism,1052,787,429
"The Old Peasant Patience Escalier with Walking Stick, Half-Figure",1888,sketch and study,Post-Impressionism,879,813,578
The Olive Trees,1888,sketch and study,Post-Impressionism,829,766,592
The Park at Arles with the Entrance Seen through the Trees,1888,landscape,Post-Impressionism,671,719,704
The Ploughed Field,1888,landscape,Post-Impressionism,734,784,616
The Railway Bridge over Avenue Montmajour,1888,cityscape,Post-Impressionism,829,851,693
The Rhone with Boats and a Bridge,1888,sketch and study,Post-Impressionism,727,653,433
The Road to Tarascon,1888,sketch and study,Post-Impressionism,701,678,543
The Road to Tarascon,1888,sketch and study,Post-Impressionism,855,664,549
The Rocks with Oak tree,1888,landscape,Post-Impressionism,737,628,255
The Roubine du Roi Canal with Washerwomen,1888,landscape,Post-Impressionism,655,646,389
The Schoolboy (Camille Roulin),1888,portrait,Post-Impressionism,661,466,385
The Smoker (Peasant),1888,portrait,Post-Impressionism,596,455,354
The Sower (Sower with Setting Sun),1888,genre painting,Post-Impressionism,975,840,321
The Sower Outskirts of Arles in the Background,1888,genre painting,Cloisonnism,792,743,434
The Starry Night,1888,sketch and study,Post-Impressionism,676,676,676
The Starry Night,1888,sketch and study,Post-Impressionism,701,538,457
Starry Night Over the Rhone,1888,landscape,Post-Impressionism,395,586,585
The Tarascon Diligence,1888,cityscape,Post-Impressionism,798,656,493
The Tarascon Stagecoach,1888,sketch and study,Post-Impressionism,752,583,484
The Trinquetaille Bridge,1888,cityscape,Post-Impressionism,684,863,864
The Viaduct and the Trinquetaille Bridge,1888,sketch and study,Post-Impressionism,779,635,593
The Yellow House,1888,cityscape,Post-Impressionism,704,629,463
The Zouave Half Length,1888,portrait,Post-Impressionism,903,852,537
Thistles,1888,landscape,Post-Impressionism,753,530,367
Thistles Along the Roadside,1888,sketch and study,Post-Impressionism,700,671,552
Three Cottages in Saintes-Maries,1888,sketch and study,Post-Impressionism,651,619,597
Three White Cottages in Saintes-Maries,1888,landscape,Post-Impressionism,479,393,298
Tiled Roof with Chimneys and Church Tower,1888,sketch and study,Post-Impressionism,982,889,657
Trunk of an Old Yew Tree,1888,landscape,Post-Impressionism,1109,955,467
Two Thistles,1888,landscape,Post-Impressionism,982,703,378
"View of a River, Quay, and Bridge",1888,sketch and study,Post-Impressionism,804,717,629
View of Arles from a Hill,1888,sketch and study,Post-Impressionism,700,648,525
View of Arles with Irises in the Foreground,1888,landscape,Post-Impressionism,844,673,215
View of Arles with Trees in Blossom,1888,landscape,Post-Impressionism,704,628,406
View of Saintes-Maries,1888,cityscape,Post-Impressionism,882,659,376
View of Saintes-Maries with Cemetery,1888,sketch and study,Post-Impressionism,777,584,436
View of Saintes-Maries with Church and Ramparts,1888,sketch and study,Post-Impressionism,740,750,752
Vincent's Bedroom,1888,sketch and study,Post-Impressionism,752,688,559
Vincent's Bedroom in Arles,1888,interior,Post-Impressionism,928,557,209
Vincent's Bedroom in Arles,1888,sketch and study,Post-Impressionism,778,663,437
Vincent's House,1888,sketch and study,Post-Impressionism,751,732,634
Vincent's House in Arles (The Yellow House),1888,cityscape,Post-Impressionism,886,757,559
Wheat Field,1888,sketch and study,Post-Impressionism,854,730,529
Wheat Field,1888,landscape,Post-Impressionism,896,650,439
Wheat Field with Setting Sun,1888,sketch and study,Post-Impressionism,981,916,774
Wheat Field with Sheaves,1888,sketch and study,Post-Impressionism,854,759,596
Wheat Field with Sheaves,1888,sketch and study,Post-Impressionism,727,650,516
Wheat Field with Sheaves and Arles in the Background,1888,sketch and study,Post-Impressionism,879,812,709
Wheat Field with Sheaves and Arles in the Background,1888,landscape,Post-Impressionism,599,599,599
Wheat Field with the Alpilles Foothills in the Background,1888,landscape,Post-Impressionism,746,763,235
Wheat Fields with Stacks,1888,landscape,Post-Impressionism,504,635,668
Wheat Stacks with Reaper,1888,landscape,Post-Impressionism,853,606,296
Wheatfield with Sheaves,1888,landscape,Post-Impressionism,763,574,290
Woman Reading a Novel,1888,sketch and study,Post-Impressionism,854,787,678
Young Man with a Hat,1888,portrait,Post-Impressionism,725,681,368
Zouave,1888,portrait,Post-Impressionism,574,493,364
Zouave,1888,portrait,Post-Impressionism,1084,663,550
"Zouave Sitting, Whole Figure",1888,sketch and study,Post-Impressionism,829,773,692
"Zouave, Half-Figure",1888,sketch and study,Post-Impressionism,854,763,619
Trees in the garden of the Hospital Saint-Paul,1888,landscape,Post-Impressionism,854,813,485
Sunset at Montmajour,1888,landscape,Impressionism,662,623,373
Interior of a Restaurant,1888,sketch and study,Post-Impressionism,701,696,685
Portrait of the Postman Joseph Roulin,1888,portrait,Post-Impressionism,981,716,285
Wheat Field with Rising Sun,1889,landscape,Post-Impressionism,763,576,306
Laboureur dans un Champ,1889,landscape,Impressionism,829,684,445
Women Picking Olives,1889,landscape,Post-Impressionism,767,750,562
Self-portrait without beard,1889,self-portrait,Post-Impressionism,691,549,471
A Bare Treetop in the Garden of the Asylum,1889,sketch and study,Post-Impressionism,522,507,457
"A Corner of the Asylum and the Garden with a Heavy, sawn-off Tree",1889,sketch and study,Post-Impressionism,879,776,562
A Field of Yellow Flowers,1889,landscape,Post-Impressionism,727,534,115
A Group of Pine Trees,1889,landscape,Post-Impressionism,829,799,704
A Group of Pine Trees near a House,1889,landscape,Post-Impressionism,829,787,717
A Meadow in the Mountains,1889,landscape,Post-Impressionism,930,740,171
A Pine Tree and Cypresses in the Garden of the Asylum,1889,sketch and study,Post-Impressionism,753,742,694
A Road in St. Remy with Female Figures,1889,landscape,Post-Impressionism,882,724,410
A Row of Bare Trees,1889,landscape,Post-Impressionism,902,884,840
A Weather-Beaten Pine Tree,1889,landscape,Post-Impressionism,982,946,884
At the Foot of the Mountains,1889,landscape,Post-Impressionism,820,783,545
Avenue with Flowering Chestnut Trees at Arles,1889,cityscape,Post-Impressionism,718,669,510
Bird's Eye View of Saint-Remy,1889,sketch and study,Post-Impressionism,879,818,716
Bloaters on a Piece of Yellow Paper,1889,still life,Post-Impressionism,1008,722,378
Clumps of Grass,1889,sketch and study,Post-Impressionism,542,650,297
Corridor in the asylum,1889,interior,Post-Impressionism,1008,740,351
Crab on It`s Back,1889,animal painting,Post-Impressionism,816,685,154
Cypresses,1889,sketch and study,Post-Impressionism,625,620,616
Cypresses,1889,sketch and study,Post-Impressionism,766,768,804
Cypresses,1889,sketch and study,Post-Impressionism,778,701,635
Cypresses,1889,sketch and study,Post-Impressionism,618,621,625
Cypresses with Two Women,1889,landscape,Post-Impressionism,721,710,592
Death's Head Moth,1889,sketch and study,Post-Impressionism,802,785,783
Enclosed Field,1889,sketch and study,Post-Impressionism,879,805,720
Enclosed Field behind Saint-Paul Hospital,1889,landscape,Post-Impressionism,727,726,725
Enclosed Field with a Sower in the Rain,1889,landscape,Post-Impressionism,982,912,767
Enclosed Field with a Sower in the Rain,1889,landscape,Post-Impressionism,752,739,743
Enclosed Field with Peasant,1889,landscape,Post-Impressionism,669,836,744
Enclosed Field with Ploughman,1889,sketch and study,Post-Impressionism,803,585,421
Enclosed Field with Ploughman,1889,landscape,Post-Impressionism,789,657,464
Enclosed field with rising sun,1889,landscape,Post-Impressionism,665,552,315
Enclosed Wheat Field with Reaper,1889,sketch and study,Post-Impressionism,932,808,558
Entrance to a Quarry,1889,landscape,Post-Impressionism,1005,627,272
Entrance to a Quarry near Saint Remy,1889,landscape,Post-Impressionism,743,767,589
Evening - The End of the Day (after Millet),1889,genre painting,Post-Impressionism,803,659,208
Evening - The Watch (after Millet),1889,genre painting,Post-Impressionism,777,644,311
Evening Landscape with Rising Moon,1889,landscape,Post-Impressionism,894,580,137
Field and Ploughman and Mill,1889,landscape,Post-Impressionism,802,714,309
Field of Spring Wheat at Sunrise,1889,landscape,Post-Impressionism,898,712,178
Field with Poppies,1889,landscape,Post-Impressionism,680,651,511
Field with Two Rabbits,1889,landscape,Post-Impressionism,817,704,241
Flowering Shrubs,1889,landscape,Post-Impressionism,1035,900,489
Fountain in the Garden of Saint-Paul Hospital,1889,sketch and study,Post-Impressionism,587,600,596
Garden of the Asylum,1889,sketch and study,Post-Impressionism,853,840,791
Garden of the Asylum and Tree Trunks and a Stone Bench,1889,sketch and study,Post-Impressionism,727,687,655
Great Peacock Moth,1889,animal painting,Post-Impressionism,905,611,325
Green Wheat Field with Cypress,1889,landscape,Post-Impressionism,655,780,662
"Head of an Angel, after Rembrandt",1889,religious painting,Post-Impressionism,387,755,1058
Irises,1889,landscape,Post-Impressionism,571,661,652
Joseph-Etienne Roulin,1889,portrait,Post-Impressionism,715,554,300
Landscape with House and Ploughman,1889,landscape,Cloisonnism,879,494,207
Landscape with Trees and Figures,1889,landscape,Post-Impressionism,875,681,259
Large Plane Trees,1889,landscape,Post-Impressionism,806,686,410
"Les Alpilles, Mountain Landscape near South-Reme",1889,landscape,Post-Impressionism,593,524,520
Lilac Bush,1889,landscape,Post-Impressionism,673,714,525
Madame Augustine Roulin,1889,portrait,Post-Impressionism,624,486,241
Madame Roulin Rocking the Cradle (A Lullaby),1889,portrait,Post-Impressionism,844,600,245
Madame Roulin Rocking the Cradle (A lullaby),1889,portrait,Post-Impressionism,835,679,395
Madame Roulin Rocking the Cradle (A lullaby),1889,portrait,Post-Impressionism,776,558,315
Mask of an Egyptian Mummy,1889,sketch and study,Post-Impressionism,648,631,588
Mask of an Egyptian Mummy 2,1889,sketch and study,Post-Impressionism,672,667,613
Mask of an Egyptian Mummy 3,1889,sketch and study,Post-Impressionism,676,671,655
Mask of an Egyptian Mummy 4,1889,sketch and study,Post-Impressionism,650,646,636
Mount Gaussier with the Mas de Saint-Paul,1889,landscape,Cloisonnism,876,766,444
Mountain Landscape Seen across the Walls,1889,sketch and study,Post-Impressionism,982,866,725
Mountain Landscape Seen across the Walls 2,1889,sketch and study,Post-Impressionism,778,726,638
Mountains at Saint-Remy with Dark Cottage,1889,landscape,Post-Impressionism,1018,880,400
Mulberry Tree,1889,landscape,Post-Impressionism,820,696,644
"Oleanders, the Hospital Garden at Saint-Remy",1889,landscape,Post-Impressionism,1007,665,444
Olive Grove,1889,landscape,Post-Impressionism,663,760,604
Olive Grove,1889,landscape,Post-Impressionism,716,606,542
Olive Grove - Bright Blue Sky,1889,landscape,Post-Impressionism,830,816,540
Olive Grove - Bright Blue Sky,1889,landscape,Post-Impressionism,818,612,278
Olive Grove - Orange Sky,1889,landscape,Post-Impressionism,882,793,537
Olive Grove - Pale Blue Sky,1889,landscape,Post-Impressionism,766,502,156
Olive Grove with Picking Figures,1889,genre painting,Post-Impressionism,879,777,390
Olive Picking,1889,genre painting,Post-Impressionism,862,752,289
Olive Picking,1889,genre painting,Post-Impressionism,884,881,550
Olive Picking,1889,genre painting,Post-Impressionism,784,690,323
Olive Trees,1889,landscape,Post-Impressionism,737,638,271
Olive Trees against a Slope of a Hill,1889,landscape,Post-Impressionism,752,571,172
Olive Trees Bright Blue Sky,1889,landscape,Post-Impressionism,981,879,444
Olive Trees in a Mountain Landscape,1889,sketch and study,Post-Impressionism,829,734,519
Olive Trees in a Mountain Landscape,1889,sketch and study,Post-Impressionism,829,761,646
Olive Trees with Yellow Sky and Sun,1889,landscape,Post-Impressionism,1057,809,380
Orchard in Bloom with Poplars,1889,landscape,Post-Impressionism,594,482,274
Orchard in Bloom with View of Arles,1889,sketch and study,Post-Impressionism,676,574,453
Park at Arles,1889,sketch and study,Post-Impressionism,610,611,650
Path between Pine Trees,1889,sketch and study,Post-Impressionism,854,795,708
Peach Trees in Blossom,1889,landscape,Post-Impressionism,668,643,688
Peasant Woman Binding Sheaves after Millet,1889,genre painting,Post-Impressionism,802,704,335
Peasant Woman Cutting Straw after Millet,1889,genre painting,Cloisonnism,736,653,431
Peasant Woman with a Rake after Millet,1889,genre painting,Post-Impressionism,860,984,795
Pieta,1889,religious painting,Post-Impressionism,845,648,312
Pine Trees against a Red Sky with Setting Sun,1889,landscape,Post-Impressionism,951,710,198
Pine Trees along a Road to a House,1889,sketch and study,Post-Impressionism,599,561,493
Pine Trees in Front of the Wall of the Asylum,1889,sketch and study,Post-Impressionism,650,646,634
Pine Trees in Front of the Wall of the Asylum,1889,sketch and study,Post-Impressionism,726,679,666
Pine Trees in Front of the Wall of the Asylum 4,1889,sketch and study,Post-Impressionism,702,636,566
Pine Trees in the Garden of the Asylum,1889,sketch and study,Post-Impressionism,726,650,582
Pine Trees near the Wall of the Asylum,1889,sketch and study,Post-Impressionism,752,680,615
Pine Trees near the Wall of the Asylum,1889,sketch and study,Post-Impressionism,701,665,648
Pine Trees near the Wall of the Asylum,1889,sketch and study,Post-Impressionism,829,769,608
Pine Trees Seen against the Wall of the Asylum,1889,sketch and study,Post-Impressionism,778,636,554
Pine Trees Seen against the Wall of the Asylum,1889,sketch and study,Post-Impressionism,778,767,727
Pine Trees Seen against the Wall of the Asylum,1889,sketch and study,Post-Impressionism,520,523,504
Pine Trees with Figure in the Garden of Saint-Paul Hospital,1889,cityscape,Post-Impressionism,797,658,353
Pollard Willows,1889,landscape,Post-Impressionism,853,843,331
Portrait of a Patient in Saint-Paul Hospital,1889,portrait,Post-Impressionism,761,561,304
Portrait of a Young Peasant,1889,portrait,Post-Impressionism,976,645,600
Portrait of Dr. Felix Rey,1889,portrait,Post-Impressionism,739,616,380
Portrait of Madame Trabuc,1889,portrait,Post-Impressionism,875,686,339
Portrait of the postman Joseph Roulin,1889,portrait,Post-Impressionism,611,507,473
Portrait of the Postman Joseph Roulin,1889,portrait,Post-Impressionism,710,607,273
"Portrait of Trabuc, an Attendant at Saint-Paul Hospital",1889,portrait,Post-Impressionism,957,642,346
Reaper with Sickle (after Millet),1889,genre painting,Post-Impressionism,878,718,385
Rocky Ground at Montmajour,1889,sketch and study,Post-Impressionism,854,821,775
Rosebush in Blossom,1889,landscape,Post-Impressionism,903,602,336
Self Portrait,1889,self-portrait,Post-Impressionism,491,484,538
Self Portrait with Bandaged Ear,1889,self-portrait,Post-Impressionism,791,628,479
Self Portrait with Pallette,1889,self-portrait,Post-Impressionism,656,693,557
Self-Portrait,1889,self-portrait,Post-Impressionism,547,465,421
Self-portrait,1889,self-portrait,Post-Impressionism,700,482,348
Self-Portrait,1889,self-portrait,Post-Impressionism,691,545,465
Self-portrait with bandaged ear,1889,self-portrait,Post-Impressionism,1033,597,343
"Sheaf-Binder, The after Millet",1889,genre painting,Post-Impressionism,1030,799,383
"Sheep-Shearers, The after Millet",1889,genre painting,Post-Impressionism,602,390,292
